AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Cuiaba,-56.000000,-15.500000,250.000000
Alta_Floresta,-56.104453,-9.871339,277.000000
Jamari,-62.750000,-8.633333,100.000000
Tucson,-110.953003,32.233002,779.000000
GSFC,-76.839833,38.992500,87.000000
Kolfield,-74.476387,39.802223,50.000000
Porto_Nacional,-48.000000,-11.000000,210.000000
Brasilia,-47.900002,-15.917000,1100.000000
Harvard_Forest,-72.188000,42.532000,322.000000
Wallops,-75.474998,37.941666,10.000000
Hampton_Roads,-76.449997,36.783333,10.000000
Hagerstown,-77.724998,39.708332,200.000000
Hog_Island,-75.700000,37.420000,50.000000
Tukurui,-49.683331,-3.716666,100.000000
Arizona,-110.788002,32.442001,2791.000000
Santarem,-54.750000,-2.433333,70.000000
Ussuriysk,132.163500,43.700400,280.000000
Waskesiu,-106.083000,53.916698,550.000000
Ariquiums,-63.033332,-9.916667,80.000000
Colorado,-105.550003,40.450001,2500.000000
JamTown,-63.099998,-9.200000,50.000000
Key_Biscayne,-80.163330,25.731966,0.000000
Sevilleta,-106.885002,34.354721,1477.000000
Jornada,-106.516944,32.351111,1288.000000
CART_SITE,-97.486390,36.606670,318.000000
Cart_Site,-97.486390,36.606670,318.000000
NSA_YJP_BOREAS,-98.290001,55.903000,290.000000
FLIN_FLON,-101.690002,54.669998,305.000000
SSA_YJP_BOREAS,-104.650002,53.674999,490.000000
PRINCE_ALBERT,-105.699997,53.200001,425.000000
Bonanza_Creek,-148.316269,64.742805,150.000000
Mauna_Loa,-155.578003,19.539000,3397.000000
Thompson,-97.849998,55.799999,218.000000
HJAndrews,-122.223892,44.238609,830.000000
La_Crau,4.819000,43.576500,32.000000
Ukiah,-118.918884,45.133610,1100.000000
Wisconsin,-89.653725,46.051888,463.000000
Ji_Parana,-61.799999,-10.860000,100.000000
Spokane,-117.533890,47.619720,360.000000
LAMTO,-5.030000,6.210000,0.000000
Bondoukoui,-3.750000,11.850000,0.000000
Bidi_Bahn,-2.450000,14.060000,0.000000
Lille,3.141667,50.611667,60.000000
Park_Brasilia,-47.916668,-15.743333,1100.000000
Albany_Oregon,-123.066666,44.583332,67.000000
Biggs,-121.733330,39.450001,50.000000
Chapada,-55.830143,-15.360644,212.000000
Jaru,-62.547749,-10.386164,170.000000
JARU_TOWN,-62.467778,-10.443056,170.000000
Agri_School,-56.180279,-10.080833,250.000000
Teles_Peres,-56.020000,-9.667945,250.000000
Red_Bluff,-122.250000,40.150002,40.000000
Pullman,-117.191666,46.750000,0.000000
Bordman,-119.666664,45.816666,200.000000
White_Sands,-106.350998,32.918999,1197.000000
GORDO_rest,-55.993000,-15.401000,411.000000
Missoula,-114.083336,46.916668,1028.000000
Owens_Lake,-117.870697,36.487778,1167.000000
Capo_Verde,-22.935499,16.732500,60.000000
Ouagadougou,-1.400000,12.200000,290.000000
UCSB,-119.845360,34.415428,33.000000
Jug_Bay,-76.778099,38.766666,10.000000
SERC,-76.500000,38.883335,10.000000
Burtonsville,-76.949881,39.093714,140.000000
Gaithersburg,-77.208336,39.133335,50.000000
La_Jolla,-117.250000,32.869700,115.000000
SS_OJP_BOREAS,-104.690000,53.916000,500.000000
Kasama,31.183332,-10.166667,1300.000000
Boulder,-105.250000,40.016998,1600.000000
McMurdo,162.883331,-77.625000,75.000000
Barcelona,2.116970,41.385670,125.000000
OBS-SSA,-105.120000,53.985000,580.000000
CANDLE_LAKE,-105.267000,53.733000,503.000000
Paddockwood,-105.500000,53.500000,503.000000
Hong_Kong_Hok_Tsui,114.258000,22.209700,80.000000
SEDE_BOKER,34.782222,30.855000,480.000000
Madison,-89.410000,43.070000,326.000000
Tuxtla_Gutierrez,-93.152222,16.754722,590.000000
Tenosique,-91.425556,17.487500,20.000000
Trinidad_Head,-124.151017,41.053917,105.000000
Dead_Horse,-148.698333,69.428333,332.000000
CARTEL,-71.931333,45.379333,300.000000
Toronto,-79.470000,43.780000,300.000000
North_Slope,-148.666500,69.627333,100.000000
Mongu,23.150833,-15.253611,1107.000000
El_Refugio,-62.034722,-14.766388,225.000000
SANTA_CRUZ,-63.177717,-17.802133,442.000000
Campo_Grande,-54.616667,-20.450000,500.000000
Uberlandia,-48.283330,-18.900000,850.000000
Alianca,-47.533333,-14.733333,800.000000
CAMPO_VERDE,-55.175000,-15.561667,697.000000
Pantanal,-56.621833,-16.395500,140.000000
Potosi_Mine,-62.866670,-9.283333,80.000000
Repressa_Samuel,-63.459333,-8.755167,100.000000
Flor_De_Oro,-61.013889,-13.553056,225.000000
Banizoumbou,2.664750,13.541167,250.000000
Lanai,-156.921667,20.735000,20.000000
Coconut_Island,-157.789717,21.432900,0.000000
LANAI,-156.985000,20.826150,80.000000
OceolaNF,-82.442778,30.205278,0.000000
JonesERC,-84.471111,31.230830,50.000000
TallTimbers,-84.238890,30.664167,0.000000
OkefenokeeNWR,-82.128611,30.741111,0.000000
Bermuda,-64.696111,32.370000,10.000000
Dry_Tortugas,-82.871944,24.628056,0.000000
JUNGFRAU,7.983889,46.548056,3580.000000
Ascension_Island,-14.414722,-7.976389,30.000000
Windsor_B,-83.083000,42.283000,200.000000
Barbados,-59.616661,13.150111,114.000000
Tahiti,-149.606300,-17.576900,98.000000
MALE,73.529167,4.191667,2.000000
