WBAN	COUNTRY	STATE	LOCATION	VECTOR	NAME	LATITUDE	LONGITUDE	ELEVATION	STATUS	COMMISSIONING	CLOSING	OPERATION	PAIRING	NETWORK
03047	US	TX	Monahans	6 ENE	Sandhills State Park	31.62	-102.8	2724	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
03048	US	NM	Socorro	20 N	Sevilleta National Wildlife Refuge (LTER Site)	34.35	-106.88	4847	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
03054	US	TX	Muleshoe	19 S	Muleshoe National Wildlife Refuge (Headquarters Site)	33.95	-102.77	3742	Commissioned	2004-04-22 20:00:00.0		Operational		USCRN
03055	US	OK	Goodwell	2 E	OK  Panhandle Research & Extn. Center (Native Grassland Site)	36.59	-101.59	3266	Commissioned	2004-04-22 20:00:00.0		Operational		USCRN
03060	US	CO	Montrose	11 ENE	Black Canyon of the Gunnison National Park (Vernal Mesa)	38.54	-107.69	8402	Commissioned	2004-09-07 20:00:00.0		Operational		USCRN
03061	US	CO	Cortez	8 SE	Mesa Verde National Park (Far View Site)	37.25	-108.5	8034	Commissioned	2006-01-05 19:00:00.0		Operational		USCRN
03062	US	NM	Los Alamos	13 W	NPS, Valles Caldera National Preserve	35.85	-106.52	8716	Commissioned	2005-02-10 19:00:00.0		Operational		USCRN
03063	US	CO	La Junta	17 WSW	USDA Comanche National Grassland	37.86	-103.82	4386	Commissioned	2004-09-07 20:00:00.0		Operational		USCRN
03067	US	KS	Oakley	19 SSW	The Nature Conservancy Kansas (Smoky Valley Ranch)	38.87	-100.96	2870	Commissioned	2006-01-05 19:00:00.0		Operational		USCRN
03072	US	TX	Bronte	11 NNE	Ft. Chadbourne Foundation, (Foundation Entrance Site)	32.04	-100.24	1997	Commissioned	2007-02-22 19:00:00.0		Operational		USCRN
03074	US	NM	Las Cruces	20 N	Jornada USDA ARS Experimental Range (Jornada Headquarters Site)	32.61	-106.74	4327	Commissioned	2007-06-10 20:00:00.0		Operational		USCRN
03075	US	NM	Dulce	1 NW	BIA Branch of Forestry	36.93	-107	6806	Non-comissioned		2011-03-03 19:00:00.0	Abandoned		USRCRN
03076	US	CO	Grand Junction	9 W	NPS, Colorado National Monument	39.1	-108.73	5806	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03077	US	AZ	Holbrook	17 ESE	NPS, Petrified Forest National Park (NADP site)	34.82	-109.89	5613	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03078	US	CO	Eads	16 ENE	NPS, Sand Creek Massacre National Historic Site	38.54	-102.5	3967	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03079	US	CO	Saguache	2 WNW	Saguache Municipal Airport	38.09	-106.17	7823	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03080	US	NM	Reserve	1 W	FS, Gila National Forest (Reserve Ranger Station)	33.71	-108.77	5842	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03081	US	UT	Tropic	9 SE	Kodachrome Basin State Park	37.51	-111.97	5895	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03082	US	NM	Carrizozo	1 W	Carrizozo Municipal Airport	33.64	-105.89	5366	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03083	US	CO	Stratton	24 N	Liberty School, Kirk	39.65	-102.62	4212	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03084	US	CO	Center A	4 SSW	Colorado State University (San Luis Valley Research Center)	37.7	-106.14	7678	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03085	US	AZ	Bowie	23 SSE	NPS, Chiricahua National Monument (NADP site)	32	-109.38	5133	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03086	US	CO	Springfield	6 WSW	FS, Comanche National Grassland near Springfield	37.38	-102.71	4557	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03087	US	NM	Santa Fe	20 WNW	NPS, Bandelier National Monument	35.82	-106.31	7258	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03088	US	CO	Woodland Park	14 WSW	NPS, Florissant Fossil Beds National Monument	38.91	-105.26	8535	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03089	US	CO	Rocky Ford	1 ESE	Colorado State University (Arkansas Valley Research Center)	38.03	-103.69	4170	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03090	US	NM	Taos	27 NW	FS, Carson National Forest (Tres Piedras Ranger Station)	36.65	-105.97	8151	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03091	US	CO	Kim	9 WSW	FS, Comanche National Grassland near Kim	37.21	-103.5	5870	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03092	US	NM	Raton	26 ESE	NPS, Capulin Volcano National Monument	36.77	-103.98	7232	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03093	US	CO	Genoa	35 N	Woodlin School	39.78	-103.51	4764	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03094	US	NM	Clayton	3 ENE	FS, Kiowa and Rita Blanca National Grasslands near Clayton	36.47	-103.12	4885	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03095	US	NM	Mills	6 WSW	FS, Kiowa and Rita Blanca National Grasslands near Mills	36.06	-104.35	5866	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03096	US	CO	Rifle	23 NW	BLM Roan Plateau	39.76	-108.12	7550	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03097	US	NM	Mountainair	2 WSW	FS, Cibola National Forest (Mountainair Ranger Station)	34.51	-106.27	6489	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03098	US	CO	Eagle	13 SSE	Sylvan Lake State Park	39.48	-106.73	8605	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03099	US	CO	Craig	30 N	BLM near Craig	40.94	-107.6	6518	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
03728	US	SC	McClellanville	7 NE	SCDNR (Santee Coastal Reserve)	33.15	-79.36	9	Commissioned	2004-01-19 19:00:00.0		Operational		USCRN
03733	US	WV	Elkins	21 ENE	Canaan Valley Resort State Park (Cabins Area)	39.01	-79.47	3390	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
03739	US	VA	Cape Charles	5 ENE	Anheuser Busch Coastal Res. Ctr. Univ. of  VA (Oyster)	37.29	-75.92	29	Commissioned	2004-04-22 20:00:00.0		Operational		USCRN
03758	US	NC	Durham	11 W	Duke Forest - Duke University	35.97	-79.09	562	Commissioned	2007-06-10 20:00:00.0		Operational		USCRN
03759	US	VA	Charlottesville	2 SSE	Thomas Jefferson Foundation	37.99	-78.46	1177	Commissioned	2007-05-04 20:00:00.0		Operational		USCRN
03761	US	PA	Avondale	2 N	Stroud Water Research Center	39.85	-75.78	400	Commissioned	2006-09-28 20:00:00.0		Operational		USCRN
04125	US	OR	John Day	35 WNW	John Day Fossil Beds Nat'l. Mon.(Sheep Rock Hdqs.)	44.55	-119.64	2245	Commissioned	2004-06-07 20:00:00.0		Operational		USCRN
04126	US	ID	Arco	17 SW	Craters of the Moon NM & Preserve (Headquarters Area)	43.46	-113.55	5920	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
04127	US	ID	Murphy	10 W	ARS NW  Watershed Research Cntr. (Reynolds Creek Site)	43.2	-116.75	3950	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
04128	US	OR	Riley	10 WSW	Northern Great Basin Experimental Range (Rainout Site)	43.47	-119.69	4583	Commissioned	2004-01-25 19:00:00.0		Operational		USCRN
04130	US	MT	St. Mary	1 SSW	Glacier National Park (St. Mary Site)	48.74	-113.43	4555	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
