"Qualifier Code","Qualifier Description","Qualifier Type","Qaulifier Type Code","Still Active","Legacy Code"
"RA","African Dust","Request Exclusion","REQEXC","YES",
"RB","Asian Dust","Request Exclusion","REQEXC","YES",
"RC","Chem. Spills & Indust. Accidents","Request Exclusion","REQEXC","YES",
"RD","Cleanup After a Major Disaster","Request Exclusion","REQEXC","YES",
"RE","Demolition","Request Exclusion","REQEXC","YES",
"RF","Fire - Canadian","Request Exclusion","REQEXC","YES",
"RG","Fire - Mexico/Central America ","Request Exclusion","REQEXC","YES",
"RH","Fireworks","Request Exclusion","REQEXC","YES",
"RI","High Pollen Count","Request Exclusion","REQEXC","YES",
"RJ","High Winds","Request Exclusion","REQEXC","YES",
"RK","Infrequent Large Gatherings","Request Exclusion","REQEXC","YES",
"RL","Other","Request Exclusion","REQEXC","YES",
"RM","Prescribed Fire","Request Exclusion","REQEXC","YES",
"RN","Seismic Activity","Request Exclusion","REQEXC","YES",
"RO","Stratospheric Ozone Intrusion","Request Exclusion","REQEXC","YES",
"RP","Structural Fire","Request Exclusion","REQEXC","YES",
"RQ","Terrorist Act","Request Exclusion","REQEXC","YES",
"RR","Unique Traffic Disruption","Request Exclusion","REQEXC","YES",
"RS","Volcanic Eruptions","Request Exclusion","REQEXC","YES",
"RT","Wildfire-U. S.","Request Exclusion","REQEXC","YES",
"1","Deviation from a CFR/Critical Criteria Requirement","Quality Assurance Qualifier","QA","YES",
"1V","Data reviewed and validated","Quality Assurance Qualifier","QA","YES",
"2","Operational Deviation","Quality Assurance Qualifier","QA","YES",
"3","Field Issue","Quality Assurance Qualifier","QA","YES",
"4","Lab Issue","Quality Assurance Qualifier","QA","YES",
"5","Outlier","Quality Assurance Qualifier","QA","YES",
"6","QAPP Issue","Quality Assurance Qualifier","QA","YES",
"7","Below Lowest Calibration Level","Quality Assurance Qualifier","QA","YES",
"9","Negative value detected - zero reported","Quality Assurance Qualifier","QA","YES",
"CB","Values have been Blank Corrected","Quality Assurance Qualifier","QA","YES",
"CC","Clean Canister Residue","Quality Assurance Qualifier","QA","YES",
"CL","Surrogate Recoveries Outside Control Limits","Quality Assurance Qualifier","QA","YES",
"DI","Sample was diluted for analysis","Quality Assurance Qualifier","QA","YES",
"DN","DNPH peak less than NATTS TAD requirement, reported value should be considered an estimate","Quality Assurance Qualifier","QA","YES",
"EH","Estimated;  Exceeds Upper Range","Quality Assurance Qualifier","QA","YES",
"FB","Field Blank Value Above Acceptable Limit","Quality Assurance Qualifier","QA","YES",
"FX","Filter Integrity Issue","Quality Assurance Qualifier","QA","YES",
"HT","Sample pick-up hold time exceeded","Quality Assurance Qualifier","QA","YES",
"LB","Lab blank value above acceptable limit","Quality Assurance Qualifier","QA","YES",
"LJ","Identification Of Analyte Is Acceptable; Reported Value Is An Estimate","Quality Assurance Qualifier","QA","YES",
"LK","Analyte Identified; Reported Value May Be Biased High","Quality Assurance Qualifier","QA","YES",
"LL","Analyte Identified; Reported Value May Be Biased Low","Quality Assurance Qualifier","QA","YES",
"MD","Value less than MDL","Quality Assurance Qualifier","QA","YES",
"MS","Value reported is 1/2 MDL substituted.","Quality Assurance Qualifier","QA","YES",
"MX","Matrix Effect","Quality Assurance Qualifier","QA","YES",
