,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
0,AMEA Sylacauga Plant,56018,8237.0,4,33.1661,-86.2825,AL,Talladega,America/Chicago,6.0
1,Ascend (Decatur Plant),880041,,4,34.6339,-87.0244,AL,Morgan,America/Chicago,6.0
2,Barry,3,14132317.25,4,31.0069,-88.0103,AL,Mobile,America/Chicago,6.0
3,Calhoun Energy Center,55409,191515.35,4,33.5883,-85.9731,AL,Calhoun,America/Chicago,6.0
4,Charles R Lowman,56,2119928.08,4,31.4858,-87.9106,AL,Washington,America/Chicago,6.0
5,Colbert,47,3686968.83,4,34.7439,-87.8486,AL,Colbert,America/Chicago,6.0
6,Decatur Energy Center,55292,3289365.33,4,34.6292,-87.0214,AL,Morgan,America/Chicago,6.0
7,E B Harris Generating Plant,7897,6663291.25,4,32.3814,-86.5736,AL,Autauga,America/Chicago,6.0
8,E C Gaston,26,8757199.0,4,33.2442,-86.4567,AL,Shelby,America/Chicago,6.0
9,Gadsden,7,,4,34.0128,-85.9708,AL,Etowah,America/Chicago,6.0
10,Gorgas,8,3357289.25,4,33.6446,-87.2003,AL,Walker,America/Chicago,6.0
11,Greene County,10,2270301.5,4,32.6017,-87.7811,AL,Greene,America/Chicago,6.0
12,Hillabee Energy Center,55411,3279353.29,4,33.0,-85.9031,AL,Tallapoosa,America/Chicago,6.0
13,Hog Bayou Energy Center,55241,1143568.55,4,30.7478,-88.0575,AL,Mobile,America/Chicago,6.0
14,"Indorama Ventures Xylenes and PTA, LLC",880075,,4,34.64,-87.0583,AL,Morgan,America/Chicago,6.0
15,International Paper-Courtland Mill,50245,74235.62,4,34.735,-87.3108,AL,Lawrence,America/Chicago,6.0
16,International Paper-Prattville Mill,52140,,4,32.4167,-86.4667,AL,Autauga,America/Chicago,6.0
17,International Paper-Riverdale Mill,54096,101627.37,4,32.425,-86.8694,AL,Dallas,America/Chicago,6.0
18,James H Miller Jr,6002,18831544.0,4,33.6319,-87.0597,AL,Jefferson,America/Chicago,6.0
19,McIntosh (7063),7063,179544.52,4,31.2546,-88.0299,AL,Washington,America/Chicago,6.0
20,McWilliams,533,2144169.57,4,31.4001,-86.4767,AL,Covington,America/Chicago,6.0
21,"MeadWestvaco Coated Board, LLC",54802,73365.58,4,32.175,-85.0311,AL,Russell,America/Chicago,6.0
22,Morgan Energy Center,55293,4199397.5,4,34.6397,-87.0639,AL,Morgan,America/Chicago,6.0
23,Plant H. Allen Franklin,7710,11136697.0,4,32.6094,-85.0961,AL,Lee,America/New_York,5.0
24,Resolute FP - Coosa Pines Mill,54216,,4,33.3278,-86.3583,AL,Talladega,America/Chicago,6.0
25,SABIC Innovative Plastics - Burkville,7698,912079.0,4,32.3102,-86.5242,AL,Lowndes,America/Chicago,6.0
26,Tenaska Central Alabama Gen Station,55440,6209991.7,4,32.6503,-86.7386,AL,Autauga,America/Chicago,6.0
27,Tenaska Lindsay Hill Generating Station,55271,3006292.64,4,32.6514,-86.7386,AL,Autauga,America/Chicago,6.0
28,Theodore Cogeneration,7721,1894337.5,4,30.5248,-88.1289,AL,Mobile,America/Chicago,6.0
29,US Steel (Fairfield Works),50730,,4,33.4833,-86.9261,AL,Jefferson,America/Chicago,6.0
30,Walton Discover Power Facility,55138,17681.22,4,32.5412,-85.0384,AL,Lee,America/New_York,5.0
31,Washington County Cogen (Olin),7697,1227368.5,4,31.2622,-88.0052,AL,Washington,America/Chicago,6.0
32,Widows Creek,50,4791280.75,4,34.8825,-85.7547,AL,Jackson,America/Chicago,6.0
33,Carl Bailey,202,,6,35.2597,-91.3631,AR,Woodruff,America/Chicago,6.0
34,Cecil Lynch,167,3466.56,6,34.7535,-92.1987,AR,Pulaski,America/Chicago,6.0
35,City Water & Light - City of Jonesboro,56505,171833.0,6,35.8481,-90.7257,AR,Craighead,America/Chicago,6.0
36,Dell Power Plant,55340,721042.9,6,35.8619,-90.0253,AR,Mississippi,America/Chicago,6.0
37,Flint Creek Power Plant,6138,4015502.98,6,36.2561,-94.5241,AR,Benton,America/Chicago,6.0
38,Fulton,7825,54428.2,6,33.6094,-93.7924,AR,Hempstead,America/Chicago,6.0
39,Hamilton Moses,168,,6,34.9806,-90.8722,AR,Saint Francis,America/Chicago,6.0
40,Harry D. Mattison Power Plant,56328,104663.54,6,36.1855,-94.2841,AR,Washington,America/Chicago,6.0
41,Harvey Couch,169,,6,33.3592,-93.4649,AR,Lafayette,America/Chicago,6.0
42,Hot Spring  Energy Facility,55418,537621.17,6,34.2963,-92.8683,AR,Hot Spring,America/Chicago,6.0
43,Independence,6641,10898693.96,6,35.6733,-91.4083,AR,Independence,America/Chicago,6.0
44,John W. Turk Jr. Power Plant,56564,205317.07,6,33.6497,-93.8119,AR,Hempstead,America/Chicago,6.0
45,Lake Catherine,170,655183.69,6,34.4341,-92.9046,AR,Hot Spring,America/Chicago,6.0
46,Magnet Cove Generating Station,55714,2824540.66,6,34.4304,-92.8333,AR,Hot Spring,America/Chicago,6.0
47,McClellan,203,,6,33.5648,-92.7917,AR,Ouachita,America/Chicago,6.0
48,Oswald Generating Station,55221,369025.83,6,34.5923,-92.2166,AR,Pulaski,America/Chicago,6.0
49,Pine Bluff Energy Center,55075,2105813.74,6,34.2181,-91.9025,AR,Jefferson,America/Chicago,6.0
50,Plum Point Energy Station,56456,4763442.89,6,35.6626,-89.9469,AR,Mississippi,America/Chicago,6.0
51,Robert E Ritchie,173,,6,34.4629,-90.5987,AR,Phillips,America/Chicago,6.0
52,Thomas Fitzhugh,201,117362.29,6,35.4617,-93.8053,AR,Franklin,America/Chicago,6.0
53,Union Power Station,55380,8995217.87,6,33.2961,-92.5933,AR,Union,America/Chicago,6.0
54,White Bluff,6009,9920444.93,6,34.4236,-92.1392,AR,Jefferson,America/Chicago,6.0
55,APS Saguaro Power Plant,118,14620.44,9,32.5517,-111.3,AZ,Pinal,America/Phoenix,7.0
56,APS West Phoenix Power Plant,117,2144333.78,9,33.4417,-112.1583,AZ,Maricopa,America/Phoenix,7.0
57,Agua Fria Generating Station,141,68081.33,9,33.5542,-112.2161,AZ,Maricopa,America/Phoenix,7.0
58,Apache Station,160,1835195.92,9,32.0619,-109.8931,AZ,Cochise,America/Phoenix,7.0
59,Arlington Valley Energy Facility,55282,1795195.82,9,33.3417,-112.8897,AZ,Maricopa,America/Phoenix,7.0
60,Black Mountain Generating Station,56482,77046.7,9,35.0361,-114.1594,AZ,Mohave,America/Phoenix,7.0
61,Cholla,113,7702659.35,9,34.9394,-110.3033,AZ,Navajo,America/Phoenix,7.0
62,Coolidge Generating Station,56948,320751.25,9,32.9175,-111.5041,AZ,Pinal,America/Phoenix,7.0
63,Coronado Generating Station,6177,6311242.66,9,34.5778,-109.2717,AZ,Apache,America/Phoenix,7.0
